OriginalTitle,ModifiedTitle
In standalone Technology lessons,PlanToTeachInTechnology
In an extracurricular setting (for example: an after school club),PlanToTeachInExtracurricular
Integrated within English lessons,PlanToIntegrateInEnglish
Integrated within Mathematics lessons,PlanToIntegrateInMaths
Integrated within Science lessons,PlanToIntegrateInScience
Integrated within Human Society and its Environment (HSIE) lessons,PlanToIntegrateInHSIE
Integrated within Languages lessons,PlanToIntegrateInLanguages
Integrated within Creative Arts lessons,PlanToIntegrateInCreativeArts
Integrated within Personal Development Health and Physical Education (PDHPE) lessons,PlanToIntegrateInPDHPE
